generic,min_age_d,max_age_d,min_age_m,max_age_m,min_age_y,max_age_y,min_weight,max_weight,min_dose_dw_mg,max_dose_dw_mg,min_dose_dw_iu,max_dose_dw_iu,limit_mg,limit_iu,min_dose_dd_mg,max_dose_dd_mg,min_dose_dd_iu,max_dose_dd_iu,route
Ampicillin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PO
Artesunate,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,200.0,0.0,0.0,PO
Artesunate,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,200.0,0.0,0.0,IV
Azithromycin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,500.0,0.0,0.0,IV
Azithromycin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,500.0,0.0,0.0,PO
Azithromycin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IM
Azithromycin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV
Azithromycin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PO
Aztreonam,0.0,999.0,0.0,999.0,18.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,6000.0,0.0,0.0,IV
Aztreonam,0.0,999.0,1.0,999.0,0.0,18.0,0.0,999.0,90.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV
Aztreonam,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,90.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV
Benzathine Penicillin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,50000.0,100000.0,0.0,2400000.0,0.0,0.0,0.0,0.0,IM
Benzathine Penicillin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,0.0,0.0,50000.0,100000.0,0.0,2400000.0,0.0,0.0,0.0,0.0,IM
Benzathine Penicillin,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,0.0,0.0,50000.0,100000.0,0.0,2400000.0,0.0,0.0,0.0,0.0,IM
Benzyl Penicillin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,14000.0,0.0,0.0,IV
Benzyl Penicillin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,120.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IM
Benzyl Penicillin,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IM
Benzyl Penicillin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,120.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV
Benzyl Penicillin,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV
Benzyl Penicillin+  Procaine Penicillin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,1200.0,0.0,0.0,IM
Benzyl Penicillin+  Procaine Penicillin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,13.55,0.0,0.0,0.0,0.0,0.0,0.0,600.0,900.0,0.0,0.0,IM
Benzyl Penicillin+  Procaine Penicillin,0.0,999.0,1.0,999.0,0.0,11.0,27.26,999.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,2400.0,0.0,0.0,IM
Benzyl Penicillin+  Procaine Penicillin,0.0,999.0,1.0,999.0,0.0,11.0,13.56,27.25,0.0,0.0,0.0,0.0,0.0,0.0,900.0,1200.0,0.0,0.0,IM
Cefaclor,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,1000.0,0.0,0.0,PO
Cefaclor,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PO
Cefadroxil,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2000.0,0.0,0.0,PO
Cefadroxil,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,30.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PO
Cefazolin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,6000.0,0.0,0.0,IM
Cefazolin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,6000.0,0.0,0.0,IV
Cefazolin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,50.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IM
Cefazolin,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,50.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IM
Cefazolin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,50.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV
Cefazolin,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,50.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV
Cefdinir,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,900.0,0.0,0.0,PO
Cefdinir,0.0,999.0,6.0,999.0,0.0,11.0,0.0,999.0,14.0,21.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,PO
Cefditoren,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,800.0,0.0,0.0,PO
Cefepime,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,6000.0,0.0,0.0,IV
Cefepime,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,100.0,150.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,IV
Cefepime,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,60.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV
Cefetamet  Pivoxil Hydrochloride,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,0.0,0.0,PO
Cefetamet  Pivoxil Hydrochloride,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,PO
Cefixime,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,600.0,0.0,0.0,PO
Cefixime,0.0,999.0,6.0,999.0,0.0,11.0,44.6,999.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,600.0,0.0,0.0,PO
Cefixime,0.0,999.0,6.0,999.0,0.0,11.0,0.0,44.5,8.0,12.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,PO
Cefoperazone,0.0,999.0,0.0,999.0,18.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,6000.0,0.0,0.0,IM
Cefoperazone,0.0,999.0,0.0,999.0,18.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,6000.0,0.0,0.0,IV
Cefotaxime,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,4000.0,0.0,0.0,IM
Cefotaxime,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,4000.0,0.0,0.0,IV
Cefotaxime,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,100.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IM
Cefotaxime,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,50.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IM
Cefotaxime,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,100.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV
Cefotaxime,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,50.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV
Cefoxitin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,8000.0,0.0,0.0,IV
Cefoxitin,0.0,999.0,3.0,999.0,0.0,11.0,0.0,999.0,80.0,160.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,IV
Cefpirome,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,4000.0,0.0,0.0,IV
Cefpirome,0.0,999.0,3.0,999.0,0.0,11.0,0.0,999.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV
Cefpodoxime,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,800.0,0.0,0.0,PO
Cefpodoxime,0.0,999.0,2.0,999.0,0.0,11.0,0.0,999.0,10.0,15.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,PO
Cefpodoxime  + Clavulanic Acid,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,800.0,0.0,0.0,PO
Cefpodoxime  + Clavulanic Acid,0.0,999.0,2.0,999.0,0.0,11.0,0.0,999.0,10.0,15.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,PO
Cefprozil,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000.0,0.0,0.0,PO
Cefprozil,0.0,999.0,2.0,999.0,0.0,11.0,0.0,999.0,15.0,22.5,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,PO
Ceftazidime,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,6000.0,0.0,0.0,IV
Ceftazidime,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,90.0,200.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,IV
Ceftazidime,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,60.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV
Ceftibuten,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,800.0,0.0,0.0,PO
Ceftibuten,0.0,999.0,6.0,999.0,0.0,11.0,0.0,999.0,9.0,18.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,PO
Ceftriaxone,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,4000.0,0.0,0.0,IM
Ceftriaxone,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2000.0,0.0,0.0,IV
Ceftriaxone,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,50.0,75.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,IM
Ceftriaxone,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IM
Ceftriaxone,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,50.0,75.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,IV
Ceftriaxone,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV
Cefuroxime,0.0,999.0,0.0,999.0,13.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,2250.0,4500.0,0.0,0.0,IM
Cefuroxime,0.0,999.0,0.0,999.0,13.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,2250.0,4500.0,0.0,0.0,IV
Cefuroxime,0.0,999.0,0.0,999.0,13.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000.0,0.0,0.0,PO
Cefuroxime,0.0,999.0,3.0,999.0,0.0,11.0,0.0,999.0,50.0,150.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,IM
Cefuroxime,0.0,999.0,3.0,999.0,0.0,11.0,0.0,999.0,50.0,150.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,IV
Cefuroxime,0.0,999.0,3.0,999.0,0.0,11.0,0.0,999.0,20.0,30.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,PO
Cefuroxime + Clavulanic Acid,0.0,999.0,0.0,999.0,13.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000.0,0.0,0.0,PO
Cefuroxime + Clavulanic Acid,0.0,999.0,3.0,999.0,0.0,11.0,0.0,999.0,50.0,100.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,IM
Cefuroxime + Clavulanic Acid,0.0,999.0,3.0,999.0,0.0,11.0,0.0,999.0,50.0,100.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,IV
Cefuroxime + Clavulanic Acid,0.0,999.0,3.0,999.0,0.0,11.0,0.0,999.0,30.0,45.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,PO
Cephalexin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,3000.0,0.0,0.0,PO
Cephalexin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PO
Cephradine,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,0.0,0.0,PO
Cephradine,0.0,999.0,9.0,999.0,0.0,11.0,0.0,999.0,25.0,50.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,PO
Chloramphenicol,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,50.0,100.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,IV
Chloramphenicol,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV
Chloramphenicol,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV
Ciprofloxacin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,800.0,0.0,0.0,IV
Ciprofloxacin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1500.0,0.0,0.0,PO
Ciprofloxacin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,20.0,30.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,IV
Ciprofloxacin,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV
Ciprofloxacin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,20.0,40.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,PO
Ciprofloxacin,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PO
Ciprofloxacin Hydrochloride,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,800.0,0.0,0.0,IV
Ciprofloxacin Hydrochloride,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1500.0,0.0,0.0,PO
Ciprofloxacin Hydrochloride,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,20.0,30.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,IV
Ciprofloxacin Hydrochloride,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV
Ciprofloxacin Hydrochloride,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,20.0,40.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,PO
Ciprofloxacin Hydrochloride,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PO
Clarithromycin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000.0,0.0,0.0,PO
Clarithromycin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,15.0,22.5,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,PO
Clindamycin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,1800.0,0.0,0.0,PO
Clindamycin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,3600.0,0.0,0.0,IV
Clindamycin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PO
Clindamycin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,25.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV
Clindamycin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,25.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IM
Cloxacillin,0.0,999.0,0.0,999.0,18.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2000.0,0.0,0.0,PO
Dapsone,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,300.0,0.0,0.0,PO
Dapsone,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PO
Demeclocycline Hydrochloride,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,900.0,0.0,0.0,PO
Demeclocycline Hydrochloride,0.0,999.0,0.0,999.0,8.0,11.0,0.0,999.0,7.0,13.0,0.0,0.0,600.0,0.0,600.0,900.0,0.0,0.0,PO
Dicloxacillin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,2000.0,0.0,0.0,PO
Dicloxacillin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PO
Dicloxacillin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2000.0,0.0,0.0,PO
Doripenem,0.0,999.0,0.0,999.0,18.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,3000.0,0.0,0.0,IV
Doxycycline,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,200.0,0.0,0.0,IV
Doxycycline,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,200.0,0.0,0.0,PO
Doxycycline,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV
Doxycycline,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PO
Ertapenem,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2000.0,0.0,0.0,IM
Ertapenem,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2000.0,0.0,0.0,IV
Ertapenem,0.0,999.0,3.0,999.0,0.0,11.0,0.0,999.0,20.0,45.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,IM
Ertapenem,0.0,999.0,3.0,999.0,0.0,11.0,0.0,999.0,20.0,45.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,IV
Erythromycin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,4000.0,0.0,0.0,IV
Erythromycin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2000.0,0.0,0.0,PO
Erythromycin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,15.0,20.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,IV
Erythromycin,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV
Erythromycin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,10.0,20.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,PO
Erythromycin,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,40.0,50.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,PO
Ethambutol,0.0,999.0,0.0,999.0,13.0,120.0,0.0,999.0,15.0,25.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,PO
Flucloxacillin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2000.0,0.0,0.0,IM
Flucloxacillin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,4000.0,0.0,0.0,IV
Flucloxacillin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2000.0,0.0,0.0,PO
Flucloxacillin,0.0,999.0,0.0,999.0,2.0,11.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000.0,0.0,0.0,IM
Flucloxacillin,0.0,999.0,0.0,999.0,2.0,11.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,2000.0,0.0,0.0,IV
Flucloxacillin,0.0,999.0,0.0,999.0,2.0,11.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000.0,0.0,0.0,PO
Flucloxacillin,29.0,999.0,0.0,999.0,0.0,2.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,500.0,0.0,0.0,IM
Flucloxacillin,29.0,999.0,0.0,999.0,0.0,2.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,100.0,0.0,0.0,IV
