generic,min_age_d,max_age_d,min_age_m,max_age_m,min_age_y,max_age_y,min_weight,max_weight,min_dose_dw_mg,max_dose_dw_mg,min_dose_dw_iu,max_dose_dw_iu,limit_mg,limit_iu,min_dose_dd_mg,max_dose_dd_mg,min_dose_dd_iu,max_dose_dd_iu,route,route_label,route_PO,route_IM,route_IV,generic_label,min_dose_dw_mg_minmax,max_dose_dw_mg_minmax,min_dose_dd_mg_minmax,max_dose_dd_mg_minmax,min_dose_dw_iu_minmax,max_dose_dw_iu_minmax,min_dose_dd_iu_minmax,max_dose_dd_iu_minmax,limit_mg_minmax,limit_iu_minmax,min_age_d_zscore,max_age_d_zscore,min_age_m_zscore,max_age_m_zscore,min_age_y_zscore,max_age_y_zscore,min_weight_zscore,max_weight_zscore
Benzyl Penicillin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,120.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IM,1,0,1,0,9,0.35555555555555557,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18739517986298282,0.37730190965789384,0.26467521131779176,0.08347851022041938,-0.9546958617930822,-0.5668983566424961,-0.21161086047820044,0.22560337934673835
Benzyl Penicillin,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IM,1,0,1,0,9,0.14814814814814814,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05140929713055281,-2.6373148813851555,-0.4544423439607368,0.08347851022041938,-0.9546958617930822,2.5280273147405126,-0.21161086047820044,0.22560337934673835
Benzyl Penicillin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,120.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV,2,0,0,1,9,0.35555555555555557,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18739517986298282,0.37730190965789384,0.26467521131779176,0.08347851022041938,-0.9546958617930822,-0.5668983566424961,-0.21161086047820044,0.22560337934673835
Benzyl Penicillin,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV,2,0,0,1,9,0.14814814814814814,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05140929713055281,-2.6373148813851555,-0.4544423439607368,0.08347851022041938,-0.9546958617930822,2.5280273147405126,-0.21161086047820044,0.22560337934673835
Benzyl Penicillin+  Procaine Penicillin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,1200.0,0.0,0.0,IM,1,0,1,0,10,0.0,0.0,0.044444444444444446,0.07111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,-0.18739517986298282,0.37730190965789384,-0.4544423439607368,0.08347851022041938,0.9360943378383746,-0.22545412771461357,-0.21161086047820044,0.22560337934673835
Benzyl Penicillin+  Procaine Penicillin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,13.55,0.0,0.0,0.0,0.0,0.0,0.0,600.0,900.0,0.0,0.0,IM,1,0,1,0,10,0.0,0.0,0.044444444444444446,0.05333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,-0.18739517986298282,0.37730190965789384,0.26467521131779176,0.08347851022041938,-0.9546958617930822,-0.5668983566424961,-0.21161086047820044,-4.601184631032727
Benzyl Penicillin+  Procaine Penicillin,0.0,999.0,1.0,999.0,0.0,11.0,27.26,999.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,2400.0,0.0,0.0,IM,1,0,1,0,10,0.0,0.0,0.08888888888888889,0.14222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,-0.18739517986298282,0.37730190965789384,0.26467521131779176,0.08347851022041938,-0.9546958617930822,-0.5668983566424961,2.0899760619000856,0.22560337934673835
Benzyl Penicillin+  Procaine Penicillin,0.0,999.0,1.0,999.0,0.0,11.0,13.56,27.25,0.0,0.0,0.0,0.0,0.0,0.0,900.0,1200.0,0.0,0.0,IM,1,0,1,0,10,0.0,0.0,0.06666666666666667,0.07111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,-0.18739517986298282,0.37730190965789384,0.26467521131779176,0.08347851022041938,-0.9546958617930822,-0.5668983566424961,0.9332724362000665,-4.534081281555637
Cefaclor,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,1000.0,0.0,0.0,PO,0,1,0,0,11,0.0,0.0,0.05555555555555555,0.05925925925925926,0.0,0.0,0.0,0.0,0.0,0.0,-0.18739517986298282,0.37730190965789384,-0.4544423439607368,0.08347851022041938,0.9360943378383746,-0.22545412771461357,-0.21161086047820044,0.22560337934673835
Cefaclor,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PO,0,1,0,0,11,0.05925925925925926,0.08888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18739517986298282,0.37730190965789384,0.26467521131779176,0.08347851022041938,-0.9546958617930822,-0.5668983566424961,-0.21161086047820044,0.22560337934673835
