generic,disease,min_weight,max_weight,min_crcl,max_crcl,max_dose_dd_mg,max_dose_dw_mg,max_dose_dd_iu,max_dose_dw_iu,route,flag
Cefuroxime + Clavulanic Acid,General,0.0,999.0,0.0,9.0,250.0,0.0,0.0,0.0,PO,Normal
Cefuroxime + Clavulanic Acid,General,0.0,999.0,10.0,30.0,500.0,0.0,0.0,0.0,PO,Normal
Cefuroxime + Clavulanic Acid,General,0.0,999.0,0.0,9.0,750.0,0.0,0.0,0.0,IV,Normal
Cefuroxime + Clavulanic Acid,General,0.0,999.0,10.0,19.0,1500.0,0.0,0.0,0.0,IV,Normal
Cefuroxime + Clavulanic Acid,General,0.0,999.0,20.0,89.0,4500.0,0.0,0.0,0.0,IV,Normal
Cephalexin,General,0.0,999.0,30.0,59.0,1000.0,0.0,0.0,0.0,PO,Normal
Cephalexin,General,0.0,999.0,15.0,29.0,750.0,0.0,0.0,0.0,PO,Normal
Cephalexin,General,0.0,999.0,5.0,14.0,250.0,0.0,0.0,0.0,PO,Normal
Cephalexin,General,0.0,999.0,1.0,4.0,125.0,0.0,0.0,0.0,PO,Normal
Cephradine,General,0.0,999.0,21.0,999.0,2000.0,0.0,0.0,0.0,PO,Normal
Cephradine,General,0.0,999.0,5.0,20.0,1000.0,0.0,0.0,0.0,PO,Normal
Cephradine,General,0.0,999.0,0.0,4.0,500.0,0.0,0.0,0.0,PO,Normal
Ciprofloxacin,General,0.0,999.0,5.0,29.0,400.0,0.0,0.0,0.0,IM,Normal
Ciprofloxacin,General,0.0,999.0,5.0,29.0,400.0,0.0,0.0,0.0,IV,Normal
Ciprofloxacin,General,0.0,999.0,5.0,29.0,500.0,0.0,0.0,0.0,PO,Normal
Ciprofloxacin,General,0.0,999.0,30.0,50.0,1000.0,0.0,0.0,0.0,PO,Normal
Ciprofloxacin Hydrochloride,General,0.0,999.0,5.0,29.0,400.0,0.0,0.0,0.0,IM,Normal
Ciprofloxacin Hydrochloride,General,0.0,999.0,5.0,29.0,400.0,0.0,0.0,0.0,IV,Normal
Ciprofloxacin Hydrochloride,General,0.0,999.0,5.0,29.0,500.0,0.0,0.0,0.0,PO,Normal
Ciprofloxacin Hydrochloride,General,0.0,999.0,30.0,50.0,1000.0,0.0,0.0,0.0,PO,Normal
Clarithromycin,General,0.0,999.0,0.0,29.0,500.0,0.0,0.0,0.0,PO,Normal
Clindamycin,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required
Cloxacillin,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required
Dapsone,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required
