generic,disease,min_weight,max_weight,min_crcl,max_crcl,max_dose_dd_mg,max_dose_dw_mg,max_dose_dd_iu,max_dose_dw_iu,route,flag,route_label,route_PO,route_IM,route_IV,flag_label,min_crcl_minmax,max_crcl_minmax,max_dose_dd_mg_minmax,max_dose_dw_mg_minmax
Cefditoren,General,0.0,999.0,0.0,29.0,200.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.0,0.02512562814070352,0.013888888888888888,0.0
Cefepime,General,0.0,999.0,60.0,89.0,6000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.8571428571428571,0.08542713567839195,0.4166666666666667,0.0
Cefepime,General,0.0,999.0,30.0,60.0,4000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.42857142857142855,0.05628140703517588,0.2777777777777778,0.0
Cefepime,General,0.0,999.0,10.0,29.0,2000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.14285714285714285,0.02512562814070352,0.1388888888888889,0.0
Cefepime,General,0.0,999.0,0.0,9.0,1000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.0,0.005025125628140704,0.06944444444444445,0.0
Cefixime,General,0.0,999.0,21.0,59.0,260.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.3,0.05527638190954774,0.018055555555555554,0.0
Cefixime,General,0.0,999.0,0.0,20.0,200.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.016080402010050253,0.013888888888888888,0.0
Cefoperazone,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required,2,0,0,1,1,0.0,1.0,0.0,0.0
Cefotaxime,General,0.0,999.0,10.0,50.0,6000.0,0.0,0.0,0.0,IM,Normal,1,0,1,0,0,0.14285714285714285,0.04623115577889447,0.4166666666666667,0.0
Cefotaxime,General,0.0,999.0,0.0,9.0,2000.0,0.0,0.0,0.0,IM,Normal,1,0,1,0,0,0.0,0.005025125628140704,0.1388888888888889,0.0
Cefotaxime,General,0.0,999.0,10.0,50.0,6000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.14285714285714285,0.04623115577889447,0.4166666666666667,0.0
Cefotaxime,General,0.0,999.0,0.0,9.0,2000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.0,0.005025125628140704,0.1388888888888889,0.0
Cefoxitin,General,0.0,999.0,30.0,50.0,6000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.42857142857142855,0.04623115577889447,0.4166666666666667,0.0
Cefoxitin,General,0.0,999.0,10.0,29.0,4000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.14285714285714285,0.02512562814070352,0.2777777777777778,0.0
Cefoxitin,General,0.0,999.0,5.0,9.0,2000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.07142857142857142,0.005025125628140704,0.1388888888888889,0.0
Cefoxitin,General,0.0,999.0,0.0,4.0,1000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.0,0.0,0.06944444444444445,0.0
Cefpirome,General,0.0,999.0,21.0,50.0,2000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.3,0.04623115577889447,0.1388888888888889,0.0
Cefpirome,General,0.0,999.0,0.0,20.0,1000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.0,0.016080402010050253,0.06944444444444445,0.0
Cefpodoxime,General,0.0,999.0,0.0,29.0,400.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.02512562814070352,0.027777777777777776,0.0
Cefpodoxime  + Clavulanic Acid,General,0.0,999.0,0.0,29.0,400.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.02512562814070352,0.027777777777777776,0.0
Cefprozil,General,0.0,999.0,0.0,29.0,500.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.02512562814070352,0.034722222222222224,0.0
Ceftazidime,General,0.0,999.0,31.0,50.0,4000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.44285714285714284,0.04623115577889447,0.2777777777777778,0.0
Ceftazidime,General,0.0,999.0,16.0,30.0,2000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.22857142857142856,0.02613065326633166,0.1388888888888889,0.0
Ceftazidime,General,0.0,999.0,0.0,15.0,1000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.0,0.011055276381909548,0.06944444444444445,0.0
Ceftibuten,General,0.0,999.0,30.0,49.0,200.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.42857142857142855,0.04522613065326633,0.013888888888888888,0.0
